Data Source,ID,Post link,List date,Sold date,Days until sold,Price,Address,Status,Area,Bedrooms,Bathrooms,Latitude,Longitude
https://www.realtor.com/,3229114046,https://www.realtor.com/realestateandhomes-detail/262-Howard-Ave_Staten-Island_NY_10301_M32291-14046,2024-06-04,Not sold yet,Not sold yet,3100000,"262 Howard Ave, Staten Island, NY 10301",FOR_SALE,6076.0,5,3.5,40.623688,-74.088769
https://www.realtor.com/,4026949903,https://www.realtor.com/realestateandhomes-detail/3304-Shore-Pkwy_Brooklyn_NY_11235_M40269-49903,2024-06-10,Not sold yet,Not sold yet,688000,"3304 Shore Pkwy, Brooklyn, NY 11235",FOR_SALE,,3,2,40.584456,-73.953469
https://www.realtor.com/,3879723201,https://www.realtor.com/realestateandhomes-detail/454-Quincy-Ave_Bronx_NY_10465_M38797-23201,2024-05-11,Not sold yet,Not sold yet,525000,"454 Quincy Ave, Bronx, NY 10465",FOR_SALE,1848.0,2,1.5,40.821198,-73.821383
https://www.realtor.com/,4545729088,https://www.realtor.com/realestateandhomes-detail/18-Cyrus-Ave_Brooklyn_NY_11229_M45457-29088,2024-06-28,Not sold yet,Not sold yet,518300,"18 Cyrus Ave, Brooklyn, NY 11229",FOR_SALE,2625.0,3,1.5,40.587951,-73.925691
https://www.realtor.com/,3218372009,https://www.realtor.com/realestateandhomes-detail/719-Hylan-Blvd_Staten-Island_NY_10305_M32183-72009,2024-06-06,Not sold yet,Not sold yet,875000,"719 Hylan Blvd, Staten Island, NY 10305",FOR_SALE,1617.0,3,2,40.602169,-74.074062
https://www.realtor.com/,4771483172,https://www.realtor.com/realestateandhomes-detail/40-Castor-Pl_Staten-Island_NY_10312_M47714-83172,2024-04-02,Not sold yet,Not sold yet,1499999,"40 Castor Pl, Staten Island, NY 10312",FOR_SALE,4747.0,4,5,40.545611,-74.196965
https://www.realtor.com/,4539740644,https://www.realtor.com/realestateandhomes-detail/1946-E-35th-St_Brooklyn_NY_11234_M45397-40644,2024-05-10,Not sold yet,Not sold yet,639000,"1946 E 35th St, Brooklyn, NY 11234",FOR_SALE,1000.0,2,1,40.609904,-73.933172
https://www.realtor.com/,3213901318,https://www.realtor.com/realestateandhomes-detail/15852-87th-St_Howard-Beach_NY_11414_M32139-01318,2024-05-02,Not sold yet,Not sold yet,879000,"158-52 87th St, Howard Beach, NY 11414",FOR_SALE,1325.0,2,3,40.658587,-73.845726
https://www.realtor.com/,3057871966,https://www.realtor.com/realestateandhomes-detail/78-Crystal-Ave_Staten-Island_NY_10302_M30578-71966,2024-07-02,Not sold yet,Not sold yet,675000,"78 Crystal Ave, Staten Island, NY 10302",FOR_SALE,1620.0,4,2.5,40.622493,-74.141862
https://www.realtor.com/,4059183354,https://www.realtor.com/realestateandhomes-detail/3219-204th-St_Bayside_NY_11361_M40591-83354,2024-06-18,Not sold yet,Not sold yet,788000,"32-19 204th St, Bayside, NY 11361",FOR_SALE,,4,2,40.770263,-73.785232
https://www.realtor.com/,3951718892,https://www.realtor.com/realestateandhomes-detail/1265-76th-St_Brooklyn_NY_11228_M39517-18892,2024-04-29,Not sold yet,Not sold yet,1458000,"1265 76th St, Brooklyn, NY 11228",FOR_SALE,2016.0,4,1.5,40.620223,-74.008461
https://www.realtor.com/,3124017057,https://www.realtor.com/realestateandhomes-detail/6-Summit-Pl_Whitestone_NY_11357_M31240-17057,2024-02-23,Not sold yet,Not sold yet,3799000,"6 Summit Pl, Malba, NY 11357",FOR_SALE,5848.0,6,6.5,40.793393,-73.82625
https://www.realtor.com/,4848180181,https://www.realtor.com/realestateandhomes-detail/566-E-32nd-St_Brooklyn_NY_11210_M48481-80181,2024-04-10,Not sold yet,Not sold yet,750000,"566 E 32nd St, Brooklyn, NY 11210",FOR_SALE,1600.0,5,2.5,40.637024,-73.946462
https://www.realtor.com/,4249179312,https://www.realtor.com/realestateandhomes-detail/457-Maine-Ave_Staten-Island_NY_10314_M42491-79312,2023-08-03,Not sold yet,Not sold yet,1749999,"457 Maine Ave, Staten Island, NY 10314",FOR_SALE,3255.0,5,4.5,40.62143,-74.139172
https://www.realtor.com/,3033424988,https://www.realtor.com/realestateandhomes-detail/East-Elmhurst_NY_11370_M30334-24988,2023-10-27,Not sold yet,Not sold yet,1800000,,FOR_SALE,3000.0,2,2,40.770321,-73.898132
https://www.realtor.com/,9751773136,https://www.realtor.com/realestateandhomes-detail/10406-212th-St_Queens-Village_NY_11429_M97517-73136,2023-10-31,Not sold yet,Not sold yet,200000,"104-06 212 St, Queens, NY 11429",FOR_SALE,1601.0,0,,40.711521,-73.746414
https://www.realtor.com/,3456791285,https://www.realtor.com/realestateandhomes-detail/65-Everton-Ave_Staten-Island_NY_10312_M34567-91285,2024-06-06,Not sold yet,Not sold yet,695000,"65 Everton Ave, Staten Island, NY 10312",FOR_SALE,2119.0,3,2,40.547752,-74.194086
https://www.realtor.com/,3107127576,https://www.realtor.com/realestateandhomes-detail/16013-84th-Ave_Jamaica_NY_11432_M31071-27576,2024-06-04,Not sold yet,Not sold yet,899000,"160-13 84th Ave, Jamaica, NY 11432",FOR_SALE,1216.0,3,2.5,40.715038,-73.805017
https://www.realtor.com/,4423829041,https://www.realtor.com/realestateandhomes-detail/320-Beach-101st-St_Rockaway-Park_NY_11694_M44238-29041,2024-04-05,Not sold yet,Not sold yet,475000,"320 Beach 101st St, Rockaway Park, NY 11694",FOR_SALE,1440.0,3,2,40.585264,-73.822398
https://www.realtor.com/,3644464498,https://www.realtor.com/realestateandhomes-detail/8729-69th-Ave_Forest-Hills_NY_11375_M36444-64498,2024-06-13,Not sold yet,Not sold yet,875000,"87-29 69th Ave, Forest Hills, NY 11375",FOR_SALE,1216.0,3,1,40.710438,-73.856065
